Country Name,Country Code,Indicator Name,Indicator Code,Year,gdp
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1960,537777811.111111
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1960,18573188486.9526
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,1960,6592693841.18495
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,1960,195999990.0
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,1960,11658722590.99
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,1960,226195579.35701
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,1960,330442817.168859
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,1960,4274893913.49536
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,1960,169803921.568627
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1960,28071888.5622288
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,1960,84466654.0801544
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,1960,563110051.920733
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,1960,30412308.9864012
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1960,112155598.949571
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1960,41093453544.9096
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1960,9522746719.21614
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,1960,4110000000.0
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1960,59716467625.3148
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,1960,546203561.571989
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,1960,618740988.011405
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,1960,131731862.568975
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,1960,4040948153.73022
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,1960,507513829.994855
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,1960,1904498765.33158
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Czech Republic,CZE,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,1960,6248946880.2777
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,1960,672399700.0
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1960,2723648551.75208
East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,1960,80254551959.8112
Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,1960,138564189854.332
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,1960,153255030645.675
Europe & Central Asia (excluding high income),ECA,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,1960,431535497511.25
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,1960,1010325138.03016
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,1960,245481170883.186
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1960,12072126075.397
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
European Union,EUU,GDP (current US$),NY.GDP.MKTP.CD,1960,359029375700.713
Fragile and conflict affected situations,FCS,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,1960,5224102195.52771
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,1960,112328422.113084
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,1960,62651474946.6007
Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,1960,141468977.569983
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,1960,72328047042.1588
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,1960,1217230038.26781
Gibraltar,GIB,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,1960,4446528164.67559
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,1960,1043599900.0
Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,1960,170215248.206265
High income,HIC,GDP (current US$),NY.GDP.MKTP.CD,1960,1069453764348.03
"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,1960,1320796651.69457
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,1960,335650000.0
Heavily indebted poor countries (HIPC),HPC,GDP (current US$),NY.GDP.MKTP.CD,1960,14868500922.2593
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
IBRD only,IBD,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
IDA & IBRD total,IBT,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
IDA total,IDA,GDP (current US$),NY.GDP.MKTP.CD,1960,35560103680.4725
IDA blend,IDB,GDP (current US$),NY.GDP.MKTP.CD,1960,12532037733.2468
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
IDA only,IDX,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Isle of Man,IMN,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
India,IND,GDP (current US$),NY.GDP.MKTP.CD,1960,36535925031.34
Not classified,INX,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,1960,1939329775.43739
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1960,4199134390.12602
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,1960,1684121534.58415
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,1960,248434096.968726
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1960,2598500000.0
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1960,40385288344.1911
Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,1960,699050678.98642
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,1960,44307342950.4
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1960,791265458.818076
Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,1960,637142865.714286
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,1960,12366563.6119699
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1960,3957873925.93719
Kuwait,KWT,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Latin America & Caribbean (excluding high income),LAC,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Lao PDR,LAO,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,1960,190495600.0
Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
St. Lucia,LCA,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Latin America & Caribbean,LCN,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Least developed countries: UN classification,LDC,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Low income,LIC,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Liechtenstein,LIE,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,1960,1409873949.57983
Lower middle income,LMC,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Low & middle income,LMY,GDP (current US$),NY.GDP.MKTP.CD,1960,299583264027.297
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,1960,34579308.4138317
Late-demographic dividend,LTE,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,1960,703925705.942958
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
"Macao SAR, China",MAC,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
St. Martin (French part),MAF,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,1960,2037150716.33238
Monaco,MCO,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1960,673081724.076322
Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Middle East & North Africa,MEA,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1960,13040000000.0
Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Middle income,MIC,GDP (current US$),NY.GDP.MKTP.CD,1960,287119002860.194
