countryname,Active,Closed,Dropped,Pipeline
World,True,False,False,False
Democratic Republic of the Congo,True,False,False,False
People's Republic of Bangladesh,True,False,False,False
Islamic  Republic of Afghanistan,True,False,False,False
Federal Republic of Nigeria,True,False,False,False
Republic of Tunisia,True,False,False,False
Federal Republic of Nigeria,True,False,False,False
Federal Republic of Nigeria,True,False,False,False
Federal Republic of Nigeria,True,False,False,False
Lebanese Republic,True,False,False,False
Democratic Socialist Republic of Sri Lan,True,False,False,False
Federal Republic of Nigeria,True,False,False,False
Nepal,True,False,False,False
Federal Republic of Nigeria,True,False,False,False
Kyrgyz Republic,True,False,False,False
Hashemite Kingdom of Jordan,True,False,False,False
Republic of the Union of Myanmar,True,False,False,False
Arab Republic of Egypt,True,False,False,False
United Republic of Tanzania,True,False,False,False
Federal Democratic Republic of Ethiopia,True,False,False,False
Burkina Faso,True,False,False,False
Republic of Uzbekistan,True,False,False,False
Romania,True,False,False,False
Federal Democratic Republic of Ethiopia,True,False,False,False
Republic of Ghana,True,False,False,False
Republic of Ecuador,True,False,False,False
Socialist Republic of Vietnam,True,False,False,False
People's Republic of China,True,False,False,False
Republic of Senegal,True,False,False,False
Grenada,True,False,False,False
Co-operative Republic of Guyana,True,False,False,False
Central Africa,True,False,False,False
Republic of Indonesia,True,False,False,False
Republic of Kenya,True,False,False,False
Republic of Indonesia,True,False,False,False
Kingdom of Cambodia,True,False,False,False
Republic of Angola,True,False,False,False
Republic of India,True,False,False,False
People's Republic of China,True,False,False,False
Africa,True,False,False,False
Republic of Zambia,True,False,False,False
Republic of Kenya,True,False,False,False
Lebanese Republic,True,False,False,False
Republic of Panama,True,False,False,False
Republic of Tunisia,True,False,False,False
Kingdom of Tonga,True,False,False,False
Islamic Republic of Pakistan,True,False,False,False
Islamic Republic of Pakistan,True,False,False,False
People's Republic of Bangladesh,True,False,False,False
Republic of Niger,True,False,False,False
Republic of Uganda,True,False,False,False
Republic of Madagascar,True,False,False,False
Plurinational State of Bolivia,True,False,False,False
Islamic  Republic of Afghanistan,True,False,False,False
People's Republic of China,True,False,False,False
Republic of Indonesia,True,False,False,False
Lebanese Republic,True,False,False,False
Kingdom of Morocco,True,False,False,False
Africa,True,False,False,False
Republic of Djibouti,True,False,False,False
Somali Democratic Republic,True,False,False,False
Republic of Maldives,True,False,False,False
Republic of Senegal,True,False,False,False
Republic of Indonesia,True,False,False,False
People's Republic of China,True,False,False,False
People's Republic of China,True,False,False,False
People's Republic of China,True,False,False,False
Central African Republic,True,False,False,False
Republic of India,True,False,False,False
Western Africa,True,False,False,False
Republic of Cabo Verde,True,False,False,False
Republic of Cote d'Ivoire,True,False,False,False
Montenegro,True,False,False,False
Kyrgyz Republic,True,False,False,False
West Bank and Gaza,True,False,False,False
